Country,Crop,Year,Area_harvested_ha,Production_tonnes,Yield_kg_per_ha
Algeria,"Edible offal of cattle, fresh, chilled or frozen",2020,,21636.9,
Algeria,"Edible offal of cattle, fresh, chilled or frozen",2021,,21940.5,
Algeria,"Edible offal of cattle, fresh, chilled or frozen",2022,,21000.0,
Algeria,"Edible offal of cattle, fresh, chilled or frozen",2023,,20700.0,
Algeria,"Edible offal of goat, fresh, chilled or frozen",2020,,7400.54,
Algeria,"Edible offal of goat, fresh, chilled or frozen",2021,,7667.72,
Algeria,"Edible offal of goat, fresh, chilled or frozen",2022,,7774.57,
Algeria,"Edible offal of goat, fresh, chilled or frozen",2023,,7779.57,
Algeria,"Edible offal of pigs, fresh, chilled or frozen",2020,,11.28,
Algeria,"Edible offal of pigs, fresh, chilled or frozen",2021,,11.11,
Algeria,"Edible offal of pigs, fresh, chilled or frozen",2022,,10.96,
Algeria,"Edible offal of pigs, fresh, chilled or frozen",2023,,10.82,
Algeria,"Edible offal of sheep, fresh, chilled or frozen",2020,,42375.48,
Algeria,"Edible offal of sheep, fresh, chilled or frozen",2021,,43310.8,
Algeria,"Edible offal of sheep, fresh, chilled or frozen",2022,,43786.96,
Algeria,"Edible offal of sheep, fresh, chilled or frozen",2023,,45555.97,
Algeria,"Edible offals of camels and other camelids, fresh, chilled or frozen",2020,,2148.08,
Algeria,"Edible offals of camels and other camelids, fresh, chilled or frozen",2021,,2140.06,
Algeria,"Edible offals of camels and other camelids, fresh, chilled or frozen",2022,,2210.26,
Algeria,"Edible offals of camels and other camelids, fresh, chilled or frozen",2023,,2322.58,
Algeria,"Edible offals of horses and other equines,  fresh, chilled or frozen",2020,,1.56,
Algeria,"Edible offals of horses and other equines,  fresh, chilled or frozen",2021,,1.94,
Algeria,"Edible offals of horses and other equines,  fresh, chilled or frozen",2022,,1.79,
Algeria,"Edible offals of horses and other equines,  fresh, chilled or frozen",2023,,1.79,
